time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2022-11-04,-0.2561255031192655,18.0,25.4,-0.20530867465337585,0.0,0.0,10.4,-0.5864305639159401,1016.7,-3.157290360521418,11,4,2022,-0.2561255031192655,-0.20530867465337585,-0.9797821139399764
2022-11-05,-0.3062048368306202,18.0,25.0,-0.20530867465337585,0.0,0.0,7.1,-1.7457825008288903,1016.5,-2.160800617708093,11,5,2022,-0.2561255031192655,-0.20530867465337585,-0.21378172705106396
2022-11-06,-0.32289794806773864,17.0,25.0,-0.20530867465337585,0.0,0.0,4.4,-2.1184313376937665,1016.3,-1.5795149344003203,11,6,2022,-0.3062048368306202,-0.20530867465337585,-0.9797821139399764
2022-11-07,-0.07250127951096567,19.0,27.7,-0.20530867465337585,0.0,0.0,14.6,0.9455702098618862,1014.6,-1.3470006610772112,11,7,2022,-0.32289794806773864,-0.20530867465337585,-0.5864305639159401
2022-11-08,-0.2561255031192655,19.0,25.0,-0.20530867465337585,0.0,0.0,12.2,-0.5864305639159401,1014.9,-3.0410332238598636,11,8,2022,-0.07250127951096567,-0.20530867465337585,-1.7457825008288903
2022-11-09,-0.3896703930162112,18.9,24.0,-0.20530867465337585,0.0,0.0,8.1,-0.5864305639159401,1016.0,-3.356588309084083,11,9,2022,-0.2561255031192655,-0.20530867465337585,-2.1184313376937665
2022-11-10,-0.4731359492018022,17.0,24.0,-0.20530867465337585,0.0,0.0,5.5,-1.7457825008288903,1017.1,-1.9448945067652061,11,10,2022,-0.3896703930162112,-0.20530867465337585,0.9455702098618862
2022-11-11,-0.4397497267275659,17.0,25.0,-0.20530867465337585,0.0,0.0,11.5,0.9455702098618862,1018.6,-2.542788352453201,11,11,2022,-0.4731359492018022,-0.20530867465337585,-0.5864305639159401
2022-11-12,-0.3395910593048565,17.0,26.0,-0.20530867465337585,0.0,0.0,9.2,-0.21378172705106396,1019.0,-2.160800617708093,11,12,2022,-0.4397497267275659,-0.20530867465337585,-0.5864305639159401
2022-11-13,-0.23943239188214765,17.9,27.0,-0.20530867465337585,0.0,0.0,9.7,-0.5864305639159401,1018.9,-1.6293394215409864,11,13,2022,-0.3395910593048565,-0.20530867465337585,-1.7457825008288903
2022-11-14,-0.3562841705419749,18.7,25.0,-0.20530867465337585,0.0,0.0,11.2,-0.21378172705106396,1018.1,-2.542788352453201,11,14,2022,-0.23943239188214765,-0.20530867465337585,0.9455702098618862
2022-11-15,-0.5899877278616295,17.0,23.0,-0.20530867465337585,0.0,0.0,6.4,-1.3524309508048533,1017.5,-2.127584292947649,11,15,2022,-0.3562841705419749,-0.20530867465337585,-0.21378172705106396
2022-11-16,-0.6233739503358657,16.0,23.0,-0.20530867465337585,0.0,0.0,6.7,-1.7457825008288903,1016.2,-1.911678182004762,11,16,2022,-0.5899877278616295,-0.20530867465337585,-0.5864305639159401
2022-11-17,-0.5732946166245116,16.0,23.0,-0.20530867465337585,0.0,0.0,4.9,-2.5117828877178034,1017.0,-1.5795149344003203,11,17,2022,-0.6233739503358657,-0.20530867465337585,-0.21378172705106396
2022-11-18,-0.48982906043892066,17.0,24.6,-0.20530867465337585,0.0,0.0,4.8,-2.5117828877178034,1018.6,-1.2473516867958787,11,18,2022,-0.5732946166245116,-0.20530867465337585,-1.3524309508048533
2022-11-19,-0.4063635042533296,16.0,26.0,-0.20530867465337585,0.0,0.0,11.9,0.17956982297297377,1020.8,-0.5996333539672174,11,19,2022,-0.48982906043892066,-0.20530867465337585,-1.7457825008288903
2022-11-20,-0.3562841705419749,16.9,27.0,-0.20530867465337585,0.0,0.0,9.9,-0.21378172705106396,1019.2,-1.09787822537388,11,20,2022,-0.4063635042533296,-0.20530867465337585,-2.5117828877178034
2022-11-21,-0.4063635042533296,16.0,26.4,-0.20530867465337585,0.0,0.0,4.5,-2.5117828877178034,1015.7,-1.928286344384984,11,21,2022,-0.3562841705419749,-0.20530867465337585,-2.5117828877178034
2022-11-22,-0.3896703930162112,18.0,24.2,-0.20530867465337585,0.0,0.0,7.3,-1.3524309508048533,1017.0,-1.8286373701036516,11,22,2022,-0.4063635042533296,-0.20530867465337585,0.17956982297297377
2022-11-23,-0.5399083941502748,16.0,24.0,-0.20530867465337585,0.0,0.0,8.3,-2.5117828877178034,1015.5,-1.1809190372749903,11,23,2022,-0.3896703930162112,-0.20530867465337585,-0.21378172705106396
2022-11-24,-0.45644283796468377,17.9,24.0,-0.20530867465337585,0.0,0.0,12.1,-0.5864305639159401,1012.7,-2.2936659167498696,11,24,2022,-0.5399083941502748,-0.20530867465337585,-2.5117828877178034
2022-11-25,-0.48982906043892066,18.0,24.0,0.5987453817297194,0.0,0.0,18.3,0.9455702098618862,1014.2,-2.957992411958753,11,25,2022,-0.45644283796468377,-0.20530867465337585,-1.3524309508048533
